18:22:58  |  Core  |  Info  |  * Initialise: FactoryManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  40
18:22:58  |  Core  |  Info  |  FactoryManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  42
18:22:58  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  48
18:22:58  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  60
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  ResourceTrueTypeFont 'DejaVuSansFont.17' using texture size 512 x 256  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  209
18:22:58  |  Core  |  Info  |  ResourceTrueTypeFont 'DejaVuSansFont.17' using real height 17 pixels  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  210
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_Images.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
18:22:58  |  Core  |  Info  |  Gui successfully initialized  |  /Volumes/Macintosh2/OgreJS/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  133
